nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,
lEXIT001GG,1700,1360,G,Parking,EXIT,75 Lobby Entrance,EXIT001,1
lEXIT002GG,2130,1410,G,Parking,EXIT,Emergency Room Entrance,EXIT002,2
lPARK001GG,125,1875,G,Parking,PARK,Parking Spot 1,PARK001,1
lPARK002GG,230,1875,G,Parking,PARK,Parking Spot 2,PARK002,2
lPARK003GG,335,1875,G,Parking,PARK,Parking Spot 3,PARK003,3
lPARK004GG,440,1875,G,Parking,PARK,Parking Spot 4,PARK004,4
lPARK005GG,145,2115,G,Parking,PARK,Parking Spot 5,PARK005,5
lPARK006GG,255,2115,G,Parking,PARK,Parking Spot 6,PARK006,6
lPARK007GG,360,2115,G,Parking,PARK,Parking Spot 7,PARK007,7
lPARK008GG,465,2115,G,Parking,PARK,Parking Spot 8,PARK008,8
lPARK009GG,570,2115,G,Parking,PARK,Parking Spot 9,PARK009,9
lPARK0010GG,675,2115,G,Parking,PARK,Parking Spot 10,PARK010,10
lPARK011GG,1954,1872,G,Parking,PARK,Parking Spot 11,PARK011,11
lPARK012GG,2082,1913,G,Parking,PARK,Parking Spot 12,PARK012,12
lPARK013GG,2201,1913,G,Parking,PARK,Parking Spot 13,PARK013,13
lPARK014GG,2313,1913,G,Parking,PARK,Parking Spot 14,PARK014,14
lPARK015GG,2432,1891,G,Parking,PARK,Parking Spot 15,PARK015,15
lPARK016GG,2644,1954,G,Parking,PARK,Parking Spot 16,PARK016,16
lPARK017GG,2760,1940,G,Parking,PARK,Parking Spot 17,PARK017,17
lPARK018GG,2875,1926,G,Parking,PARK,Parking Spot 18,PARK018,18
lPARK019GG,3001,1928,G,Parking,PARK,Parking Spot 19,PARK019,19
lPARK020GG,3115,1910,G,Parking,PARK,Parking Spot 20,PARK020,20
lPARK021GG,1955,2050,G,Parking,PARK,Parking Spot 21,PARK021,21
lPARK022GG,2085,2050,G,Parking,PARK,Parking Spot 22,PARK022,22
lPARK023GG,2225,2035,G,Parking,PARK,Parking Spot 23,PARK023,23
lPARK024GG,2345,2040,G,Parking,PARK,Parking Spot 24,PARK024,24
lPARK025GG,2475,2045,G,Parking,PARK,Parking Spot 25,PARK025,25
lWALK001GG,2533,1953,G,Parking,WALK,Middle of East Parking,WALK001,1
lWALK002GG,2533,1712,G,Parking,WALK,Edge of East Parking,WALK002,2
lWALK003GG,1932,1537,G,Parking,WALK,Between Entrances,WALK003,3
lWALK004GG,578,1960,G,Parking,WALK,Middle of West Parking,WALK004,4
lWALK005GG,778,1702,G,Parking,WALK,Edge of West Parking,WALK005,5